,Title,Release date,Share of positive reviews (in %),Total number of reviews,Normal price (€),Discounted price if there is a sale (€),Sale rate (in %)
6193,Holy Knight Luviria,2019-11-14,80,120,16.79,,
6194,Shadow Ops: Red Mercury,2014-07-02,80,121,6.99,,
6195,Nelke &amp; the Legendary Alchemists ~Ateliers of the New World~ / ネルケと伝説の錬金術士たち ～新たな大地のアトリエ～,2019-03-25,80,120,59.99,,
6196,Maytroid. I swear it's a nice game too,2018-12-11,80,118,1.59,,
6197,The Rising of the Shield Hero : Relive The Animation,2019-09-23,80,115,13.29,,
6198,Card Crawl,2018-02-07,80,105,2.99,,
6199,Hidden Object 6-in-1 bundle,2016-03-16,80,96,11.99,,
6200,The Last Crown: Midnight Horror,2015-10-29,80,93,4.99,,
6201,Governor of Poker 2,2010-10-11,80,90,7.99,,
6202,Deep Dark Fight,2017-12-28,80,90,2.99,,
6203,Project Nightmares Case 36: Henrietta Kedward,2018-06-01,80,87,10.79,,
6204,Mahjong,2017-02-20,80,86,9.99,,
6205,Metro Sim Hustle,2019-05-31,80,84,16.79,13.43,20.0
6206,Rising Storm 2: Vietnam - Digital Deluxe Edition Upgrade,2017-05-30,80,86,5.0,,
6207,Gatling Gears,2011-08-30,80,86,9.99,,
6208,The spy who shot me™,2019-01-29,80,85,8.99,,
6209,Fabulous - Angela's Fashion Fever,2016-10-19,80,81,9.99,,
6210,Monster Hunter World: Iceborne Deluxe Kit,2020-01-09,80,80,14.99,,
6211,Roommates,2014-10-15,80,78,22.99,,
6212,Slay,2016-11-30,80,77,9.99,,
6213,Curse: The Eye of Isis,2014-08-22,80,77,2.99,,
6214,Next 2,2018-02-01,80,76,0.79,,
6215,Reversion - The Escape (1st Chapter),2014-06-10,80,76,0.99,,
6216,DiRT Rally 2.0 - Colin McRae: FLAT OUT Pack,2020-03-23,80,75,9.99,,
6217,ACE COMBAT™ 7: SKIES UNKNOWN - ADF-11F Raven Set,2019-05-21,80,73,4.99,,
6218,Hell Wedding 夜嫁后续（完结）,2019-05-29,80,71,8.19,,
6219,Hidden Object Fairy Tale Bundle,,80,71,7.2,,
6220,Conan Exiles - The Savage Frontier Pack,2018-10-09,80,68,9.99,6.99,30.0
6221,The Myth Seekers Collection,,80,70,24.98,14.51,42.0
6222,Maniac Mansion,2017-12-18,80,70,4.99,,
6223,Devil Engine,2019-02-20,80,70,16.79,,
6224,Catastronauts,2018-09-28,80,67,13.29,,
6225,Frosty Nights,2017-12-08,80,66,4.99,,
6226,Try Hard Parking,2017-01-03,80,66,0.87,,
6227,Call to Arms - Deluxe Edition upgrade,2015-07-30,80,65,14.99,,
6228,Trump Simulator VR,2016-10-27,80,63,0.99,,
6229,Sniper Ghost Warrior 2: World Hunter Pack,2013-06-25,80,61,3.99,,
6230,Surviving Mars: Space Race,2018-11-15,80,60,12.99,8.7,33.0
6231,Wild Romance: Mofu Mofu Edition,2017-11-20,80,60,14.99,,
6232,LEGO Batman 3: Beyond Gotham DLC: Arrow,2015-01-14,80,60,2.99,,
6233,Eagle Island,2019-07-10,80,57,16.79,,
6234,Mad Age &amp; This Guy,2017-10-24,80,57,3.99,,
6235,Fallout: New Vegas Old World Blues,2011-07-18,80,56,4.99,,
6236,Catan VR,2018-06-13,80,55,12.49,,
6237,Civilization V - Scenario Pack: Wonders of the Ancient World,2011-08-11,80,55,3.49,,
6238,InfiniPicross Complete,,80,55,4.46,,
6239,Tropico 5 - Espionage,2015-05-28,80,52,7.99,,
6240,Complete Figure Drawing Course HD,2016-08-22,80,52,16.79,,
6241,Saints Row IV - Zinyak Attack Pack,2013-11-26,80,52,1.99,,
6242,Sport Heavy Casting Pack,2016-05-27,80,51,4.99,,
6243,Killing Floor - Neon Weapon Pack,2014-07-02,80,51,6.99,,
6244,SoundSelf: A Technodelic,2020-04-22,80,50,24.95,,
6245,Subdivision Infinity DX,2019-08-07,80,50,12.49,,
6246,Melon Simulator™,2016-11-03,80,50,4.99,,
6247,Pukan Bye Bye,2018-03-27,80,50,16.79,,
6248,TROUBLESHOOTER Soundtrack,2020-04-27,100,49,3.99,,
6249,Fate/EXTELLA LINK - Tropical Set,,100,49,8.74,,
6250,100% Orange Juice - Starter Character Voice Pack,2017-06-12,100,49,2.99,,
6251,Paper Memories - Comics from To the Moon &amp; Finding Paradise,2019-03-08,100,48,1.59,,
6252,Histy's Emergency Aid Plan Pack / いーすんからの救済用仕様書パック / 伊伊贈送的救濟用製作書套裝,2015-10-30,100,48,0.99,,
6253,Pixel Ripped 1995,2020-04-23,100,47,19.99,,
6254,Barony: Myths &amp; Outcasts,2019-02-22,100,47,3.29,,
6255,Intergalactic Fishing,2020-04-21,100,47,12.49,,
6256,COLDTV,2017-10-20,100,47,1.99,,
6257,Monster Hunter World: Iceborne - Pendant: Strollin' Nightshade,2020-04-08,100,46,0.99,,
6258,Oxygen Not Included Soundtrack,2020-02-11,100,45,3.99,,
6259,Putty Pals,2017-02-15,100,45,9.99,,
6260,American Truck Simulator - Valentine's Paint Jobs Pack,2017-02-10,100,45,1.99,,
6261,100% Orange Juice - Yuki &amp; Tomomo Renewal Pack,2017-12-25,100,45,1.99,,
6262,Stonekeep,2017-03-24,100,44,9.99,,
6263,Lupinball,2017-08-17,100,41,9.99,,
6264,AREA 4643,2018-12-21,100,40,8.99,,
6265,Syrian Warfare Original Soundtrack,2017-02-27,100,40,2.99,,
6266,Don't Escape Trilogy,2019-07-29,100,38,3.99,,
6267,QT,2020-01-23,100,38,8.19,,
6268,Art Plunge,2019-09-11,100,38,1.59,,
6269,The Witcher 3: Wild Hunt Soundtrack,2020-02-10,100,37,9.99,,
6270,Super Jigsaw Puzzle: Cities,2018-05-29,100,37,4.99,,
6271,Quell Zen,2016-07-14,100,36,5.69,1.13,80.0
6272,🐛 Bug Academy,2020-01-14,100,35,9.99,,
6273,Gaokao.Love.100Days - Official Artworks,2017-11-10,100,35,3.99,,
6274,Heart of the House,2017-10-26,100,34,4.99,,
6275,Monster Hunter World: Iceborne - Pendant: Flying Meduso Colony,2020-04-08,100,33,0.99,,
6276,SYNTHETIK - Supporter Pack,2018-10-03,100,33,4.99,,
6277,Monster Hunter: World - Additional Gesture Bundle 2,,100,33,5.0,,
6278,Down the Rabbit Hole,2020-03-26,100,32,16.79,12.59,25.0
6279,Simson Tuningwerkstatt 3D,2018-12-03,100,32,24.99,,
6280,Monster Hunter: World - Additional Face Paint Bundle,,100,32,2.01,,
6281,DEAD OR ALIVE 5 Last Round: Core Fighters Character: Marie Rose,2016-10-03,100,32,3.99,,
6282,Deep Sleep Trilogy,2019-10-25,100,32,3.99,,
6283,异化之恶〇Abnormal Treatment - 原声OST,2019-08-02,100,32,0.79,,
6284,Down the Rabbit Hole + Soundtrack,,100,31,19.78,14.8,25.0
6285,Iron Snout - Snoutfit DLC,2018-06-18,100,31,1.59,,
6286,Tales of Berseria™ - Summer Holiday Costume Pack,2017-01-31,100,31,11.99,,
6287,Space Gladiators: Escaping Tartarus,2019-10-22,100,31,9.99,,
6288,Seven Days,2019-12-13,100,31,33.99,,
6289,SAVAGE: The Shard of Gosen,2019-08-30,100,31,14.99,,
6290,RollingSky2,2020-03-31,100,31,10.79,,
6291,Puppet Story,2019-12-04,100,31,1.59,,
6292,Tales From Off-Peak City Vol. 1,2020-05-15,100,30,8.19,7.37,10.0
6293,Puddle Knights,2020-03-03,100,30,10.79,7.55,30.0
6294,Tales From Off-Peak City Vol. 1 + Soundtrack,,100,30,13.88,8.75,37.0
6295,Cultist Simulator: The Dancer,2018-10-16,100,30,2.39,,
6296,Monster Hunter: World - Additional Gesture Bundle 7,,100,30,3.02,,
6297,Synthwave Dream '85,2018-08-31,100,30,8.19,,
6298,Yousei Daisensou ~ Touhou Sangetsusei,2019-08-02,100,30,8.99,,
6299,Hyperdimension Neptunia Re;Birth1 Histoire Battle Entry,2015-01-29,100,30,0.99,,
6300,Toasterball,2020-01-14,100,29,4.99,,
6301,Empires in Ruins,2020-02-04,100,29,16.99,15.29,10.0
6302,Train Simulator: GWR Class 14XX Loco Add-On,2014-10-09,100,29,13.99,,
6303,Gunkid 99,2019-03-13,100,29,4.99,,
6304,7 Wonders: Magical Mystery Tour,2014-02-18,100,29,5.99,,
6305,Colorgrid,2019-11-21,100,29,0.79,,
6306,Oik Memory: Endgame,2019-05-28,100,29,0.79,,
6307,Shovel Knight: Treasure Trove Soundtrack Collection,2014-12-24,100,28,9.99,,
6308,Tales of Berseria™ - Tales of Legacy Bundle,2017-02-21,100,28,6.99,,
6309,Rising Storm 2: Vietnam - Sgt Joe's Support Bundle DLC,2019-06-17,100,28,14.99,,
6310,Furi Original Soundtrack,2016-07-07,100,28,14.99,,
6311,How Buddy’s parents met - jigsaw puzzle,2020-02-14,100,28,1.59,,
6312,Overcooked! 2 - Season Pass,2019-04-18,100,27,16.99,,
6313,Picklock,2020-05-07,100,27,7.19,,
6314,Miracle snack shop 기적의 분식집 OST,2019-01-28,100,27,3.99,,
6315,Ostalgie: Legacy of Hoxha,2018-11-15,100,27,2.39,,
6316,Tower Unite - Original Soundtrack,2016-04-20,100,27,4.99,,
6317,SENRAN KAGURA ESTIVAL VERSUS - Ayame,2017-03-17,100,27,3.99,,
6318,SOK MAX,2018-02-12,100,27,1.59,,
6319,The Wind and Wilting Blossom,2020-04-28,100,26,11.59,,
6320,RWBY: Grimm Eclipse - Team JNPR Beacon Dance Costume Pack,2017-03-10,100,26,1.99,,
6321,Half-Life: C.A.G.E.D. - Executive Plunger,2017-09-21,100,26,2.99,,
6322,Car Mechanic Simulator 2018 - Mercedes-Benz DLC,2020-01-15,100,25,5.69,4.95,13.0
6323,Granblue Fantasy: Versus - Additional Character Set 2 (Narmaya),2020-03-13,100,25,6.99,,
6324,Raccoo Venture,2019-12-11,100,25,10.79,6.68,38.0
6325,Green: An Orc's Life,2020-03-17,100,25,3.99,1.99,50.0
6326,Don't Starve Together: Beating Heart Chest,2018-02-09,100,25,4.99,,
6327,Murder Miners - Believer's Pack DLC,2019-09-03,100,25,6.59,,
6328,Rocket Boots Mania,2018-11-29,100,25,12.99,,
6329,Grabity,2018-05-30,100,25,8.19,,
6330,Thaumistry: In Charm's Way,2017-10-07,100,25,3.29,,
6331,Monster Hunter World: Iceborne - Pendant: Pukei Strap,2020-04-08,100,24,0.99,,
6332,Chatventures,2020-04-09,100,24,2.99,,
6333,Bridge Constructor Portal - Portal Proficiency,2019-11-12,100,24,3.99,,
6334,Lenin - The Lion,2019-09-27,100,24,9.99,,
6335,Florence - Original Soundtrack,2020-02-13,100,24,3.29,,
6336,Mystic Destinies: Serendipity of Aeons - Takumi,2016-11-29,100,24,2.39,,
6337,Gem Forge,2016-11-01,100,24,0.79,,
6338,Godless Tactics,2020-05-15,100,23,5.99,5.39,10.0
6339,DJMAX RESPECT V - Welcome to the Space GEAR PACK,2020-04-13,100,23,8.19,,
6340,Locomotion,2019-05-10,100,23,7.39,5.91,20.0
6341,Unitied,2019-11-27,100,23,1.59,1.19,25.0
6342,Squarism,2017-11-21,100,23,2.39,,
6343,Train Simulator: LNER Peppercorn Class K1 Loco Add-On,2015-10-01,100,23,13.99,,
6344,Dogurai,2019-05-27,100,23,3.99,,
6345,Hiveswap Friendsim - Volume Nine,2018-08-03,100,23,0.79,,
6346,Armoured Commander II,2020-05-14,100,22,6.59,4.94,25.0
6347,Dying Light - Harran Inmate Bundle,2019-11-26,100,22,2.99,,
6348,Fate/EXTELLA LINK - Burning Bikini,2019-03-19,100,22,1.99,,
6349,Redout - Soundtrack,2016-12-21,100,22,7.99,2.39,70.0
6350,Fate/EXTELLA LINK - Special Set 3,,100,22,6.32,,
6351,Double Spoiler,2019-08-02,100,22,8.99,,
6352,"Gremlins, Inc. – Uninvited Guests",2016-04-21,100,22,4.99,,
6353,"Warstone OST, Artbook and Comics",2018-06-01,100,22,3.99,,
6354,RPG Girls - Lootbox Hunt,2020-05-01,100,22,2.39,,
6355,Snail Trek - Chapter 2: A Snail Of Two Worlds,2017-12-12,100,22,0.89,,
6356,The Confession,2020-05-18,100,21,1.59,1.43,10.0
6357,Crisis in the Kremlin: Homeland of the Revolution,2020-03-24,100,21,1.99,,
6358,Glass Masquerade - Halloween Puzzle Pack,2018-10-29,100,21,0.79,,
6359,Battlestar Galactica Deadlock: The Broken Alliance,2018-05-29,100,21,8.19,,
6360,Arcade Moonlander,2017-10-25,100,21,,,
6361,Train Simulator: LNER Peppercorn Class A2 'Blue Peter' Loco Add-On,2015-05-14,100,21,13.99,,
6362,Streets of Rogue Soundtrack,2017-03-10,100,21,4.99,,
6363,8-bit Adventure Anthology: Volume I,2017-10-31,100,21,7.99,,
6364,Hyperdimension Neptunia Re;Birth1 Additional Content1,2015-01-21,100,21,0.99,,
6365,Causality,2017-02-02,100,21,3.99,,
6366,Sairento VR - Weapons Pack,2018-06-07,100,21,3.29,,
6367,Rise of the Triad Soundtrack,2015-07-27,100,21,6.99,,
6368,Hiveswap Friendsim - Volume Seven,2018-07-06,100,21,0.79,,
6369,Substance Designer 2020,2019-12-19,100,20,126.99,,
6370,Rising Storm 2: Vietnam - Specialist Pack Cosmetic DLC,2019-06-17,100,20,7.99,,
6371,Mainframe Defenders,2020-02-25,100,20,8.19,,
6372,Monster Hunter: World - Sticker Set: Poogie,2018-08-09,100,20,1.99,,
6373,Indie Friends Pack,2017-07-18,100,20,2.99,,
6374,HyperBowl,2018-07-20,100,20,0.79,,
6375,Tiny Dream Epiphyllum  - Official Artworks,2020-03-16,100,20,0.79,,
6376,Unrailed! - Supporter Pack,2019-09-09,100,20,5.99,,
6377,Danger Crew,2019-05-06,100,20,8.19,4.09,50.0
6378,Depth - Specimen 8 Great White Skin,2015-10-29,100,20,4.99,,
6379,D'LIRIUM Soundtrack,2017-09-11,100,20,2.39,,
6380,Surviving Mars: Colony Design Set,2018-11-15,100,19,4.99,3.34,33.0
6381,Among Us - Polus Map,2019-11-12,100,19,1.59,,
6382,Mizuchi 白蛇心傳,2020-04-17,100,19,12.49,,
6383,Redout - Space Exploration Pack,2017-11-17,100,19,9.99,2.99,70.0
6384,Hardcore Maze Cube - Puzzle Survival Game,2020-01-28,100,19,3.99,2.19,45.0
6385,Battle Brothers - Support the Developers &amp; Nordic Banner,2019-05-09,100,19,10.0,,
6386,Rocksmith® 2014 – Bachsmith,2014-08-26,100,19,4.99,,
6387,Dark Parables: Ballad of Rapunzel Collector's Edition,2017-05-01,100,19,9.99,,
6388,"DAEMON X MACHINA - Arsenal - ""Muramasa""",2020-02-13,100,19,3.99,,
6389,5Leaps (Space Tower Defense),2019-05-15,100,19,5.69,,
6390,Bubbles the Cat,2019-04-11,100,19,6.59,,
6391,Rivals of Aether: Spangled Wrastor,2016-05-23,100,19,2.39,,
6392,Train Simulator: BR Class 50 Loco Add-On,2013-06-13,100,19,5.99,,
6393,Super House of Dead Ninjas: True Ninja Pack,2013-08-06,100,19,2.99,,
6394,A Winter's Daydream,2018-10-15,100,19,4.99,,
6395,Fluffy Store - Listening with you,2019-09-10,100,19,1.59,,
6396,The Vanishing of Ethan Carter - Collector's Edition Upgrade,2014-09-25,100,19,8.99,,
6397,Chicken in the Darkness,2018-10-29,100,19,2.39,,
6398,Northern Tale,2016-02-09,100,19,2.99,,
6399,Train Simulator: Amtrak® Dash 8-32BWH Loco Add-On,2016-03-01,100,19,13.99,,
6400,Monster Hunter World: Iceborne - MHW:I Room Decor: Intimate Decor Set,2020-03-11,100,18,9.99,,
6401,Call of Duty®: Black Ops II - Kawaii Personalization Pack,2013-04-12,100,18,1.99,,
6402,Monster Hunter: World - Gesture: Hip Hop Dance,2018-11-29,100,18,1.99,,
6403,Pajama Sam: Games to Play on Any Day,2014-10-23,100,18,4.99,,
6404,Little Nightmares – Original Soundtrack,2017-04-27,100,18,4.99,,
6405,100% Orange Juice - Pudding Pack,2019-10-28,100,18,1.59,,
6406,Kingdom Come: Deliverance – OST Atmospheres &amp; Additionals,2019-03-28,100,18,14.99,,
6407,Bird Missions,2020-05-03,100,18,0.79,,
6408,Magmatic Bundle,,100,18,16.37,,
6409,VANILLA - GARDEN OF JUDGEMENT,2018-10-19,100,18,12.49,,
6410,Grim Fandango Remastered - Soundtrack,2015-05-05,100,18,9.99,,
6411,Tangledeep - Legend of Shara,2019-04-04,100,18,6.59,,
6412,Depth - Nighttip Whitetip Skin,2018-06-05,100,18,4.99,,
6413,Bubble Burst,2018-12-24,100,18,2.39,,
6414,Dawn of War II: Retribution – The Last Stand,2011-04-20,100,18,9.99,,
6415,Pajama Sam's Sock Works,2014-06-06,100,18,4.99,,
6416,Necrolepsy,2019-10-11,100,18,8.19,,
6417,Ruler by Default,2018-05-03,100,18,8.19,,
6418,Jabba's Palace Character Pack,2016-08-02,100,18,1.99,,
6419,Conjuror's Eye,2018-03-14,100,18,0.79,,
6420,Mask of the Plague Doctor,2020-04-23,100,17,5.69,,
6421,Barony: Legends &amp; Pariahs,2019-12-27,100,17,3.29,,
6422,"Gremlins, Inc. – Original Soundtrack",2016-06-16,100,17,4.99,,
6423,Glass Masquerade - Heritages Puzzle Pack,2019-06-17,100,17,1.59,,
6424,Monster Hunter: World - Face Paint: Eye Shadow,2018-08-09,100,17,0.99,,
6425,Groove Coaster - B.B.K.K.B.K.K.,2018-10-02,100,17,1.59,,
6426,Alien Shooter - Fight for Life,2019-03-29,100,17,1.59,,
6427,Red Island,2019-07-25,100,17,1.59,,
6428,Warface – Flor de Muerto Pack,2019-03-22,100,17,20.99,,
6429,Tales of Zestiria - Attachments Set,2015-10-27,100,17,4.99,,
6430,Gerty,2019-12-19,100,17,13.49,7.41,45.0
6431,Gerty Soundtrack edition,,100,17,19.48,12.73,35.0
6432,Space Wars,2020-04-24,100,17,0.79,,
6433,Additional Playable Character DIZZY,2016-12-14,100,17,4.99,,
6434,Kaiju Big Battel: Fighto Fantasy,2018-10-30,100,17,9.99,,
6435,Dark Parables: Rise of the Snow Queen Collector's Edition,2016-08-09,100,17,9.99,,
6436,Highway Blossoms - Soundtrack,2016-06-17,100,17,4.99,,
6437,Rivals of Aether: Ragnir Maypul,2018-01-17,100,17,3.99,,
6438,Jalopy - Soundtrack,2017-06-09,100,17,3.29,,
6439,Super Forklift 3000,2020-04-17,100,17,0.79,,
6440,"Please, Don't Touch Anything Soundtrack",2015-03-26,100,17,2.99,,
6441,Super Indie Square,2019-10-07,100,17,2.39,,
6442,White Noise 2 - Astaroth,2017-04-21,100,17,1.99,,
6443,HUNTER BRICK BALL,2018-06-21,100,17,1.99,,
6444,Cities: Skylines - Coast to Coast Radio,2020-03-26,100,16,3.99,,
6445,Sonic 3 &amp; Knuckles,2011-01-26,100,16,4.49,,
6446,Bus Simulator 18 - Mercedes-Benz Interior Pack 1,2018-11-14,100,16,1.99,,
6447,Call of Duty®: Modern Warfare® 3 Collection 2,2012-06-21,100,16,13.99,9.09,35.0
6448,Alien Shooter - The Experiment,2019-04-08,100,16,1.59,,
6449,Tabletop Simulator - The Captain Is Dead,2016-08-19,100,16,5.99,,
6450,Complete Hallowed Nights Chest,,100,16,16.4,,
6451,My Jigsaw Adventures - Roads of Life,2020-04-01,100,16,3.99,,
6452,Train Simulator: GP40-2 Loco Pack Add-On,2018-06-21,100,16,13.99,,
6453,The Unlikely Legend of Rusty Pup,2018-10-19,100,16,9.99,,
6454,Wizard Warfare,2019-12-13,100,16,5.99,,
6455,Pizza for Devs,2019-08-03,100,16,5.69,,
6456,Cat Lady - The Card Game,2019-12-12,100,16,3.99,,
6457,Skirmish Line - United Front,2019-05-23,100,16,3.99,,
6458,RWBY: Grimm Eclipse - Team RWBY Beacon Dance Costume Pack,2017-03-10,100,16,1.99,,
6459,Alchemia,2018-09-28,100,16,1.59,,
6460,The Escapists 2 - Big Top Breakout,2018-02-21,100,16,3.99,,
6461,FAR: Lone Sails - Soundtrack,2018-05-17,100,16,3.99,,
6462,Hang The Kings,2019-10-25,100,16,0.79,,
6463,Rescuties! VR,2016-10-19,100,16,4.99,,
6464,Reach Me,2017-12-07,100,16,1.99,,
6465,Winter War,2020-04-28,100,15,12.49,,
6466,DFF NT: Tifa Lockhart Starter Pack,2019-07-02,100,15,5.99,,
6467,Media Piano and Keyboard Method,2016-09-13,100,15,45.99,,
6468,Divinity: Original Sin 2 - Official Soundtrack,,100,15,3.99,,
6469,Monster Hunter World: Iceborne - Pendant: Swinging Furious Rajang,2020-04-08,100,15,0.99,,
6470,Pinball FX3 - Aliens vs Pinball,2017-09-26,100,15,9.99,,
6471,Fate/EXTELLA - Mysterious Heroine Outfit,2017-07-25,100,15,1.99,,
6472,Crossout - Insomnia Pack,2018-08-21,100,15,9.99,,
6473,Lufulus' Creatures,2020-05-04,100,15,3.29,,
6474,Train Simulator: GWR Small Prairies Loco Add-On,2014-12-10,100,15,21.99,,
6475,Awesomenauts - 8-Bit Yoolip Skin,2016-04-27,100,15,7.99,,
6476,Rocket League x Monstercat Vol. 2,2018-04-03,100,15,1.99,,
6477,Rivals of Aether: Summit Kragg,2016-05-12,100,15,2.39,,
6478,Tricky Towers - Gem Bricks,2017-03-14,100,15,0.99,,
6479,DW8XLCE - SPECIAL COSTUME PACK 1 &amp; SPECIAL WEAPON,2014-08-06,100,15,5.99,,
6480,Word Wonders: The Tower of Babel,2015-05-08,100,15,3.29,,
6481,Hidden Folks - Mouth Sounds Pack,2018-05-10,100,15,2.99,,
6482,Singled Out,2019-09-04,100,15,1.99,0.99,50.0
6483,Moves,2019-12-19,100,15,0.79,,
6484,Wreckfest - Backwoods Bangers Car Pack,2019-10-22,100,14,3.99,2.99,25.0
6485,Automobilista - Season Pass for all DLCs,2016-08-24,100,14,29.99,,
6486,AI War 2: The Spire Rises,2020-02-27,100,14,6.59,,
6487,Monster Hunter: World - The Handler's Techno Handler Costume,2020-03-11,100,14,2.99,,
6488,RimWorld - Royalty Soundtrack,2020-02-26,100,14,3.99,,
6489,Aladdin - Hidden Objects Game,2020-04-24,100,14,3.99,,
6490,Monster Hunter: World - Gesture: Sleep,2018-08-09,100,14,1.99,,
6491,Monster Hunter: World - Sticker Set: Celestial Pursuit Girls,2019-01-24,100,14,1.99,,
6492,"Gremlins, Inc. – Famous Figures",2017-10-19,100,14,4.99,,
6493,Train Simulator: New Haven FL9 Loco Add-On,2015-02-19,100,14,13.99,,
6494,Tales of Berseria™ - Maid/Butler Costumes Set,2017-02-14,100,14,6.99,,
6495,Epic Dumpster Bear: Dumpster Fire Redux,2018-04-03,100,14,3.99,1.59,60.0
6496,DownStream: VR Whitewater Kayaking,2019-08-28,100,14,15.99,,
6497,Pixelarium,2019-05-16,100,14,12.49,,
6498,Offworld Trading Company: Jupiter's Forge Expansion Pack,2017-05-18,100,14,14.99,,
6499,SENRAN KAGURA Peach Beach Splash - Super Sonico Character Pack,2018-03-07,100,14,5.99,,
6500,Rogue Star Rescue,2019-03-08,100,14,12.49,8.24,34.0
6501,War for the Overworld - The Cynical Imp (Charity DLC),2017-05-10,100,14,2.39,,
6502,Shadow Puppets &amp; Beijing opera,2020-04-08,100,14,3.29,,
6503,Unlock The King 3,2020-03-17,100,14,0.79,,
6504,Train Simulator: Chatham Main &amp; Medway Valley Lines Route Add-On,2018-02-01,100,13,29.99,,
6505,Monster Hunter World: Iceborne - MHW:I Room Decor: Lil' Bit of Glamour Decor Set,2020-04-08,100,13,1.99,,
6506,Little Bunny,2020-05-16,100,13,0.79,0.47,41.0
6507,Hide Or Die - Golden Boy Supporter Pack,2020-05-08,100,13,3.99,,
6508,Danger Zombies,2020-05-16,100,13,0.79,0.47,41.0
6509,Monster Hunter World: Iceborne - MHW:I Monster Figure: Dodogama,2020-02-05,100,13,2.99,,
6510,Monster Hunter World: Iceborne - Hairstyle: Wild Pompadour,2020-03-11,100,13,1.49,,
6511,Mini Island: Night,2020-01-01,100,13,2.39,1.6,33.0
6512,Area-X,2015-06-24,100,13,22.99,16.09,30.0
6513,千面 Melancholy Love Soundtrack,2020-05-13,100,13,0.79,,
6514,Tactical Nexus,2019-11-11,100,13,12.49,,
6515,Coronavirus Evolution,2020-04-19,100,13,0.79,,
6516,The Messenger Soundtrack,,100,13,10.84,,
6517,Dead In Vinland - The Vallhund,2018-09-19,100,13,1.99,,
6518,Operation Sniff,2020-03-23,100,13,2.39,,
6519,Craft The World - Grottoes,2019-10-23,100,13,0.79,,
6520,Potion Commotion,2020-04-15,100,13,0.79,,
6521,BRINK: Agents of Change,2011-08-03,100,13,2.99,,
6522,IL-2 Sturmovik: MC.202 Series VIII Collector Plane,2016-08-09,100,13,16.99,,
6523,Sordwin: The Evertree Saga,2019-03-07,100,13,3.99,,
6524,Train Simulator: Western Pacific GP20 High Nose Loco Add-On,2016-04-28,100,13,13.99,,
6525,Call of Duty®: Ghosts - Weapon - The Ripper,2014-07-31,100,13,3.99,,
6526,Train Simulator: EWS Class 92 Loco Add-On,2014-03-06,100,13,13.99,,
6527,Train Simulator: Freightliner Class 57/0 Loco Add-On,2013-02-14,100,13,5.99,,
6528,2 for 1! + a cat,,100,13,4.92,,
6529,The Moonstone Equation,2018-08-20,100,13,9.99,,
6530,Hyperdimension Neptunia Re;Birth1 Additional Content3,2015-01-29,100,13,0.99,,
